user_name,from_key,to_key,flight_time,dwell_time
vishnu,w,a,118.0,
vishnu,a,a,,158.0
vishnu,a,y,31.0,
vishnu,y,y,,125.0
vishnu,y, ,61.0,
vishnu, , ,,148.0
vishnu, ,t,41.0,
vishnu, ,o,128.0,
vishnu,t,t,,188.0
vishnu,o,o,,172.0
vishnu,o, ,1.0,
vishnu, , ,,121.0
vishnu, ,i,13.0,
vishnu,i,i,,116.0
vishnu,i,n,52.0,
vishnu,n,n,,118.0
vishnu,n,c,154.0,
vishnu,c,c,,102.0
vishnu,c,e,164.0,
vishnu,e,e,,21.0
vishnu,e,Backspace,489.0,
vishnu,Backspace,Backspace,,139.0
vishnu,Backspace,r,42.0,
vishnu,r,r,,127.0
vishnu,r,e,8.0,
vishnu,e,e,,147.0
vishnu,e,a,5.0,
vishnu,a,a,,126.0
vishnu,a,s,8.0,
vishnu,a,e,153.0,
vishnu,s,s,,237.0
vishnu,s, ,37.0,
vishnu,e,e,,173.0
vishnu, , ,,165.0
vishnu, ,y,210.0,
vishnu,y,y,,109.0
vishnu,y,o,44.0,
vishnu,y,u,179.0,
vishnu,o,o,,158.0
vishnu,o,r,81.0,
vishnu,u,u,,114.0
vishnu,u, ,219.0,
vishnu,r,r,,261.0
vishnu, , ,,120.0
vishnu, ,t,159.0,
vishnu,t,t,,111.0
vishnu,t,y,83.0,
vishnu,t,p,196.0,
vishnu,y,y,,139.0
vishnu,p,p,,109.0
vishnu,p,i,76.0,
vishnu,i,i,,175.0
vishnu,i,n,8.0,
vishnu,i,g,116.0,
vishnu,n,n,,160.0
vishnu,n, ,89.0,
vishnu,g,g,,206.0
vishnu, , ,,145.0
vishnu, ,s,228.0,
vishnu,s,s,,123.0
vishnu,s,p,128.0,
vishnu,p,p,,138.0
vishnu,p,e,56.0,
vishnu,e,e,,94.0
vishnu,e,e,75.0,
vishnu,e,e,,96.0
vishnu,e,d,105.0,
vishnu,e, ,212.0,
vishnu,d,d,,142.0
vishnu, , ,,130.0
vishnu, ,i,41.0,
vishnu, ,s,186.0,
vishnu,i,i,,184.0
vishnu,s,s,,110.0
vishnu,s, ,5.0,
vishnu,s,t,99.0,
vishnu, , ,,108.0
vishnu, ,o,98.0,
vishnu,t,t,,144.0
vishnu,o,o,,136.0
vishnu,o, ,3.0,
vishnu, , ,,120.0
vishnu, ,t,264.0,
